time,Ft
0,0
0.002,-0.125662879311179
0.004,-0.251320797667052
0.006,-0.376968794308163
0.008,-0.50260190886675
0.01,-0.628215181562566
0.012,-0.753803653398691
0.014,-0.879362366357298
0.016,-1.00488636359539
0.018,-1.13037068964049
0.02,-1.25581039058627
0.022,-1.38120051428812
0.024,-1.50653611055865
0.026,-1.63181223136315
0.028,-1.75702393101486
0.03,-1.88216626637029
0.032,-2.0072342970243
0.034,-2.1322230855052
0.036,-2.25712769746963
0.038,-2.3819432018974
0.04,-2.50666467128609
0.042,-2.63128718184565
0.044,-2.75580581369276
0.046,-2.88021565104505
0.048,-3.00451178241514
0.05,-3.12868930080462
0.052,-3.25274330389767
0.054,-3.37666889425468
0.056,-3.50046117950552
0.058,-3.62411527254275
0.06,-3.74762629171449
0.062,-3.87098936101721
0.064,-3.99419961028814
0.066,-4.11725217539763
0.068,-4.2401421984411
0.07,-4.36286482793085
0.0720000000000001,-4.48541521898763
0.0740000000000001,-4.60778853353181
0.0760000000000001,-4.7299799404745
0.0780000000000001,-4.85198461590815
0.0800000000000001,-4.9737977432971
0.0820000000000001,-5.09541451366765
0.0840000000000001,-5.21683012579794
0.0860000000000001,-5.33803978640751
0.0880000000000001,-5.45903871034651
0.0900000000000001,-5.57982212078459
0.0920000000000001,-5.70038524939953
0.0940000000000001,-5.82072333656544
0.0960000000000001,-5.9408316315407
0.0980000000000001,-6.06070539265548
0.1,-6.18033988749895
0.102,-6.2997303931061
0.104,-6.4188721961442
0.106,-6.53776059309885
0.108,-6.65639089045974
0.11,-6.77475840490583
0.112,-6.89285846349035
0.114,-7.01068640382518
0.116,-7.12823757426502
0.118,-7.24550733409092
0.12,-7.36249105369357
0.122,-7.47918411475601
0.124,-7.59558191043603
0.126,-7.71167984554793
0.128,-7.82747333674405
0.13,-7.94295781269562
0.132,-8.05812871427326
0.134,-8.17298149472699
0.136,-8.28751161986569
0.138,-8.40171456823613
0.14,-8.51558583130146
0.142,-8.62912091361918
0.144,-8.74231533301866
0.146,-8.85516462077804
0.148,-8.96766432180065
0.15,-9.07980999479094
0.152,-9.19159721242976
0.154,-9.30302156154917
0.156,-9.41407864330666
0.158,-9.52476407335879
0.16,-9.63507348203431
0.162,-9.74500251450665
0.164,-9.85454683096584
0.166,-9.96370210678982
0.168,-10.0724640327152
0.17,-10.1808283150074
0.172,-10.2887906756301
0.174,-10.3963468524142
0.176,-10.5034925992259
0.178,-10.6102236861347
0.18,-10.7165358995799
0.182,-10.8224250425375
0.184,-10.9278869346854
0.186,-11.0329174125686
0.188,-11.1375123297638
0.19,-11.2416675570426
0.192,-11.3453789825351
0.194,-11.4486425118918
0.196,-11.5514540684454
0.198,-11.6538095933715
0.2,-11.7557050458495
0.202,-11.8571364032212
0.204,-11.9580996611504
0.206,-12.0585908337805
0.208,-12.1586059538921
0.21,-12.2581410730595
0.212,-12.3571922618067
0.214,-12.4557556097623
0.216,-12.553827225814
0.218,-12.6514032382625
0.22,-12.7484797949738
0.222,-12.8450530635317
0.224,-12.9411192313889
0.226,-13.0366745060176
0.228,-13.1317151150591
0.23,-13.226237306473
0.232,-13.320237348685
0.234,-13.4137115307344
0.236,-13.5066561624205
0.238,-13.5990675744484
0.24,-13.6909421185738
0.242,-13.782276167747
0.244,-13.8730661162561
0.246,-13.9633083798695
0.248,-14.052999395977
0.25,-14.142135623731
0.252,-14.2307135441857
0.254,-14.3187296604366
0.256,-14.4061804977581
0.258,-14.4930626037409
0.26,-14.5793725484282
0.262,-14.6651069244512
0.264,-14.7502623471635
0.266,-14.8348354547748
0.268,-14.9188229084837
0.27,-15.0022213926092
0.272,-15.0850276147221
0.274,-15.1672383057744
0.276,-15.248850220229
0.278,-15.329860136187
0.28,-15.4102648555158
0.282,-15.4900612039747
0.284,-15.5692460313405
0.286,-15.6478162115318
0.288,-15.7257686427324
0.29,-15.8031002475138
0.292,-15.8798079729567
0.294,-15.9558887907714
0.296,-16.0313396974175
0.298,-16.1061577142224
0.3,-16.180339887499
0.302,-16.2538832886619
0.304,-16.3267850143437
0.306,-16.3990421865091
0.308,-16.4706519525686
0.31,-16.5416114854912
0.312,-16.6119179839163
0.314,-16.6815686722634
0.316,-16.7505608008428
0.318,-16.8188916459634
0.32,-16.8865585100403
0.322,-16.9535587217017
0.324,-17.0198896358938
0.326,-17.0855486339859
0.328,-17.1505331238731
0.33,-17.2148405400789
0.332,-17.2784683438567
0.334,-17.3414140232898
0.336,-17.4036750933905
0.338,-17.4652490961984
0.34,-17.5261336008773
0.342,-17.5863262038111
0.344,-17.6458245286991
0.346,-17.7046262266491
0.348,-17.7627289762709
0.35,-17.8201304837674
0.352,-17.8768284830253
0.354,-17.9328207357047
0.356,-17.9881050313274
0.358,-18.0426791873641
0.36,-18.0965410493204
0.362,-18.1496884908223
0.364,-18.2021194136999
0.366,-18.2538317480701
0.368,-18.3048234524184
0.37,-18.3550925136796
0.372,-18.4046369473174
0.374,-18.4534547974023
0.376,-18.5015441366892
0.378,-18.5489030666932
0.38,-18.595529717765
0.382,-18.6414222491642
0.384,-18.6865788491322
0.386,-18.7309977349639
0.388,-18.7746771530775
0.39,-18.8176153790845
0.392,-18.8598107178573
0.394,-18.9012615035961
0.396,-18.9419660998949
0.398,-18.9819228998059
0.4,-19.0211303259031
0.402,-19.0595868303444
0.404,-19.0972908949329
0.406,-19.1342410311766
0.408,-19.1704357803475
0.41,-19.2058737135389
0.412,-19.2405534317217
0.414,-19.2744735658002
0.416,-19.3076327766655
0.418,-19.3400297552487
0.42,-19.3716632225726
0.422,-19.4025319298021
0.424,-19.4326346582935
0.426,-19.4619702196425
0.428,-19.4905374557315
0.43,-19.518335238775
0.432,-19.5453624713639
0.434,-19.5716180865094
0.436,-19.5971010476849
0.438,-19.6218103488667
0.44,-19.6457450145738
0.442,-19.6689040999066
0.444,-19.6912866905841
0.446,-19.71289190298
0.448,-19.7337188841574
0.45,-19.7537668119028
0.452,-19.7730348947583
0.454,-19.791522372053
0.456,-19.809228513933
0.458,-19.8261526213901
0.46,-19.8422940262896
0.462,-19.8576520913963
0.464,-19.8722262104002
0.466,-19.88601580794
0.468,-19.899020339626
0.47,-19.9112392920616
0.472,-19.9226721828635
0.474,-19.9333185606806
0.476,-19.9431780052123
0.478,-19.9522501272245
0.48,-19.9605345685654
0.482,-19.9680310021795
0.484,-19.9747391321204
0.486,-19.9806586935625
0.488,-19.9857894528118
0.49,-19.9901312073146
0.492,-19.993683785666
0.494,-19.9964470476162
0.496,-19.9984208840763
0.498,-19.9996052171227
0.5,-20
0.502,-19.9996052171227
0.504,-19.9984208840763
0.506,-19.9964470476162
0.508,-19.993683785666
0.51,-19.9901312073146
0.512,-19.9857894528118
0.514,-19.9806586935625
0.516,-19.9747391321203
0.518,-19.9680310021795
0.52,-19.9605345685654
0.522,-19.9522501272245
0.524,-19.9431780052123
0.526,-19.9333185606806
0.528,-19.9226721828634
0.53,-19.9112392920616
0.532,-19.899020339626
0.534,-19.88601580794
0.536,-19.8722262104002
0.538,-19.8576520913963
0.54,-19.8422940262896
0.542,-19.8261526213901
0.544,-19.809228513933
0.546,-19.791522372053
0.548,-19.7730348947583
0.55,-19.7537668119028
0.552,-19.7337188841574
0.554,-19.71289190298
