time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,5.14548922023248e-12,0,5.22947365367295e-12,-8.87562433975438e-09,5.39986469035875e-12,-1.1357040062291e-08,1.09855506293612e-11,-7.91345672369498e-09,6.19205942194139e-12,2.22693510465593e-08,1.77513159403843e-11,5.63911522878438e-08,7.33948777990976e-12,1.16492428407541e-07,2.57433012772186e-11,2.32625290061477e-07,8.58409835974881e-12,2.25979414895945e-07,3.60918804357042e-11,4.28045173406092e-07,1.18626481092709e-11,8.10548868081142e-08,4.70139140364283e-11,1.05450676084896e-07,-7.96918584800513e-13,-9.34222578078112e-07,-2.48948288606908e-11,-1.91694032335531e-06,-1.95204448828142e-10,-3.31605501267462e-06,-4.36641208561036e-10,-6.48744968408105e-06,-5.82216204129315e-10,-5.37196024305614e-06
0.004,0,0,1.42533343757227e-10,0,1.445650859573e-10,-3.00365142511986e-08,1.48593544184255e-10,7.81612708156547e-09,3.00668987141009e-10,1.5003410311303e-07,1.64100975943695e-10,4.14795968530209e-07,4.72040941869951e-10,8.81295725056035e-07,1.77550661621536e-10,1.04655541212875e-06,6.66189152441648e-10,2.06898247209764e-06,2.16783387029361e-10,1.12133284935442e-06,9.34637042644236e-10,2.38217100998134e-06,2.83163071515159e-10,-1.03879664604397e-06,9.51871050505031e-10,-1.34884670932702e-06,-6.01655300223682e-10,-7.13215780080457e-06,-1.44181949033631e-09,-1.29235359744963e-05,-4.7808487726081e-09,-1.61455322001931e-05,-8.89166301523536e-09,-3.24769943617348e-05,-9.29271813205697e-09,-2.15035204853369e-05
0.006,0,0,1.15945827274964e-09,0,1.16820431889957e-09,2.98507273686564e-07,1.17970583799996e-09,7.86519680879727e-07,2.3482069963935e-09,1.87254275911374e-06,1.16718498336216e-09,2.43096101864614e-06,3.50853666660513e-09,4.97999067671243e-06,1.17913198792983e-09,3.47785139362916e-06,4.88364873322911e-09,7.65954950072155e-06,1.58708985913268e-09,1.00881735426821e-06,6.3591914796226e-09,4.80364079338624e-06,6.61733436842855e-10,-7.9388212411255e-06,3.37135386669334e-09,-1.04273363716335e-05,-8.68150985723019e-09,-2.33269408400029e-05,-1.54563404103107e-08,-4.23240149449234e-05,-3.0274463974165e-08,-3.99944399730993e-05,-5.58233439168958e-08,-8.77027814636885e-05,-4.69410498342791e-08,-4.83781744311995e-05
0.008,0,0,4.83516637327207e-09,0,4.71149207712756e-09,2.30504016198767e-06,4.49257649626898e-09,4.45535562629735e-06,8.91789272938008e-09,8.37861923202339e-06,3.97206907007639e-09,7.22785655624152e-06,1.31073666579809e-08,1.52201325003528e-05,4.61881761211899e-09,5.3478248374367e-06,1.83097470707317e-08,1.62813827741031e-05,5.07886894729488e-09,-4.81545523554686e-06,1.9604029427586e-08,2.43781948823768e-06,-5.81890305192839e-09,-2.42779507472847e-05,-2.68219721096819e-09,-3.43273969258207e-05,-4.38321240678367e-08,-4.97814015851803e-05,-7.69608753635623e-08,-9.68344507171673e-05,-1.06390942108143e-07,-7.42613388193114e-05,-2.09006323403945e-07,-0.000178662342723585,-1.48122268948647e-07,-8.59792939184662e-05
0.01,0,0,1.29724824975021e-08,0,1.16058510111621e-08,6.99812692775705e-06,9.80218486167488e-09,1.22257000859804e-05,2.0630641308574e-08,2.08229291529257e-05,9.10311878830963e-09,1.35443489698443e-05,3.15907503126589e-08,3.02032466662826e-05,1.26811645147582e-08,3.24387999248448e-06,4.29661989464394e-08,2.34635466715982e-05,6.31592422713963e-09,-1.85366579194377e-05,3.19711593759006e-08,-1.00897026937661e-05,-3.664389540262e-08,-4.99047228147192e-05,-5.04129787587695e-08,-7.81485236181712e-05,-1.37796840265054e-07,-8.65228958531417e-05,-2.57854908217799e-07,-0.000181980758809748,-2.77721475180109e-07,-0.000119480337399285,-5.8777139115822e-07,-0.000311151737666287,-3.61882962137826e-07,-0.000134425286360253
0.012,0,0,2.47899366265319e-08,0,2.04689316479419e-08,1.23008559713048e-05,1.53608936289657e-08,2.0698912117703e-05,3.53182251439909e-08,3.38511729640076e-05,1.68562243004396e-08,1.88514496102587e-05,5.69017595609516e-08,4.35654884771559e-05,2.41057682830432e-08,-2.27883294674058e-06,7.15956779590702e-08,2.43080927733122e-05,-5.08063879995512e-09,-3.83692885238846e-05,1.7777175057838e-08,-3.66238840867631e-05,-1.19690766653253e-07,-8.47258020994786e-05,-2.04290463933745e-07,-0.000146235840117273,-3.39494289022608e-07,-0.000134222374399311,-6.78397216908141e-07,-0.000302496290944095,-6.05627141547468e-07,-0.000175867613445015,-1.37721058582444e-06,-0.000490267495243734,-7.54882865453043e-07,-0.000194181889993681
0.014,0,0,3.60532610102124e-08,0,2.95316538390418e-08,1.50940610222143e-05,2.19682235682813e-08,2.51814597554248e-05,5.16243216393204e-08,4.04918847443268e-05,2.59927990419761e-08,2.08184864206651e-05,8.40238338108632e-08,4.76964786988748e-05,3.28325666426961e-08,-1.05341068497467e-05,8.94627233443139e-08,1.23423275025928e-05,-4.41708169773479e-08,-6.30036160705662e-05,-6.21370212428998e-08,-8.22471985850183e-05,-2.89937383932325e-07,-0.000127224417616299,-5.5004249258489e-07,-0.000242270477194788,-7.07417142365142e-07,-0.000191891284014298,-1.49461813959212e-06,-0.000461829542357717,-1.17055455907008e-06,-0.000243800714406991,-2.81772525702591e-06,-0.00071990652375698,-1.41284291402954e-06,-0.000265678494795959
0.016,0,0,4.31150431765129e-08,0,3.63130564520966e-08,1.5381802004344e-05,2.88280389446545e-08,2.50449653233829e-05,6.70920136919291e-08,3.86823992410261e-05,3.60511751688927e-08,1.59180155334858e-05,1.05771741940577e-07,3.64053866585537e-05,2.85468614941691e-08,-2.54847546876753e-05,7.36047711662501e-08,-2.09956589552656e-05,-1.31039698757989e-07,-9.28498937392206e-05,-2.53347947664155e-07,-0.000154297104094364,-5.73909051164361e-07,-0.000175093973960803,-1.16950019508472e-06,-0.000371157326461333,-1.28956152019206e-06,-0.000257144404334045,-2.84707072823007e-06,-0.000662478512788443,-2.03943017268062e-06,-0.000320849775486096,-5.11978313289954e-06,-0.00100026398053499,-2.4057026495023e-06,-0.000346700724433088
0.018,0,0,4.77244688616364e-08,0,4.24542828683768e-08,1.35692002591615e-05,3.76453896428335e-08,2.05504694853554e-05,8.46726028602082e-08,2.82047662698297e-05,4.65926684273617e-08,2.51466253978084e-06,1.18585679994192e-07,6.9514894171814e-06,-3.00450212726296e-09,-5.03772860418613e-05,-2.99603822711445e-09,-8.20045241167316e-05,-2.97715732082057e-07,-0.000131473912277035,-6.18980400510688e-07,-0.000261661806896603,-1.00748842432572e-06,-0.000229338135910656,-2.1504372558807e-06,-0.000540445798057547,-2.09600273545221e-06,-0.000326374841736445,-4.8202665728857e-06,-0.000906990825942232,-3.19910241803939e-06,-0.000401096732816584,-8.35046738042852e-06,-0.00132760538734779,-3.71410879891702e-06,-0.000430802684363826
